 Tag  Distância Euclidiana  Distância Manhattan  Distância Chebyshev  Correlação
 0.0             34.372904          2146.091237             0.891424    1.331663
 1.0             30.282465          1886.895990             0.834302    1.274112
 2.0             11.680776           617.111759             0.493868    0.277260
 3.0             26.785247          1557.845429             0.767343    0.983552
 4.0              2.218509            71.702985             0.159179    0.011961
 5.0             29.516649          1812.456225             0.836623    1.212741
 6.0             27.927582          1719.537868             0.854439    1.137941
 0.0              2.218509            71.702985             0.159179    0.011961
