 Tag  Distância Euclidiana  Distância Manhattan  Distância Chebyshev  Correlação
 0.0             10.233000           459.653457             0.619785    0.326283
 1.0              5.972684           254.573680             0.374659    0.204030
 2.0             20.768341          1283.374625             0.591908    0.814163
 3.0              9.523564           444.494983             0.463578    0.395272
 4.0             27.210562          1661.218480             0.837639    1.122449
 5.0              4.251440           178.471979             0.286007    0.096941
 6.0              1.090527            64.860796             0.067433    0.007921
 0.0              1.090527            64.860796             0.067433    0.007921
