 Tag  Distância Euclidiana  Distância Manhattan  Distância Chebyshev  Correlação
 0.0             25.689349          1669.836392             0.600920    0.713495
 1.0             22.106883          1408.871572             0.574134    0.670510
 2.0              3.419699           138.131696             0.208544    0.034022
 3.0             18.156679          1093.834480             0.463641    0.473486
 4.0             12.964009           636.455098             0.642852    0.367809
 5.0             21.596445          1356.813125             0.579144    0.693421
 6.0             20.753414          1282.504577             0.586412    0.743062
 0.0              3.419699           138.131696             0.208544    0.034022
