frequencia,magnitude,potencia_dbm
1825000000,0.5279878377914429,7.4627783300092805
1826000000,0.5282642841339111,7.467324938582195
1827000000,0.5282642841339111,7.467324938582195
1828000000,0.5274896621704102,7.454579010201621
1829000000,0.5274896621704102,7.454579010201621
1830000000,0.5312463045120239,7.516218396701548
1831000000,0.5312463045120239,7.516218396701548
1832000000,0.531295895576477,7.517029173935904
1833000000,0.531295895576477,7.517029173935904
1834000000,0.5335767865180969,7.554238499757461
1835000000,0.5335767865180969,7.554238499757461
1836000000,0.527779221534729,7.459345720912227
1837000000,0.527779221534729,7.459345720912227
1838000000,0.528596043586731,7.472778121018221
1839000000,0.528596043586731,7.472778121018221
1840000000,0.5212207436561584,7.350733787248664
1841000000,0.5212207436561584,7.350733787248664
1842000000,0.5220859050750732,7.365139328199543
1843000000,0.5220859050750732,7.365139328199543
1844000000,0.5268425941467285,7.443917547244395
1845000000,0.5268425941467285,7.443917547244395
1846000000,0.5221047401428223,7.365452679636967
1847000000,0.5221047401428223,7.365452679636967
1848000000,0.5222563743591309,7.367974945277036
1849000000,0.5222563743591309,7.367974945277036
1850000000,0.5250168442726135,7.413764701227361
1851000000,0.5250168442726135,7.413764701227361
1852000000,0.5260089635848999,7.430162855010848
1853000000,0.5260089635848999,7.430162855010848
1854000000,0.5235040187835693,7.38870035616641
1855000000,0.5235040187835693,7.38870035616641
1856000000,0.5289303660392761,7.478269970671606
1857000000,0.5289303660392761,7.478269970671606
1858000000,0.5300847291946411,7.497205819624138
1859000000,0.5300847291946411,7.497205819624138
1860000000,0.5365674495697021,7.6027864168713695
1861000000,0.5365674495697021,7.6027864168713695
1862000000,0.5375356674194336,7.618445687444519
1863000000,0.5375356674194336,7.618445687444519
1864000000,0.5361682176589966,7.596321293015764
1865000000,0.5361682176589966,7.596321293015764
1866000000,0.5414184331893921,7.680960711083476
1867000000,0.5414184331893921,7.680960711083476
1868000000,0.541965126991272,7.689726807610182
1869000000,0.541965126991272,7.689726807610182
1870000000,0.5423248410224915,7.695489908963565
1871000000,0.5423248410224915,7.695489908963565
1872000000,0.5460530519485474,7.75499673195195
1873000000,0.5460530519485474,7.75499673195195
1874000000,0.5377258658409119,7.621518507338885
1875000000,0.5377258658409119,7.621518507338885
1876000000,0.535584568977356,7.58686107308355
1877000000,0.535584568977356,7.58686107308355
1878000000,0.5361534953117371,7.596082788690111
1879000000,0.5361534953117371,7.596082788690111
1880000000,0.5357066988945007,7.588841499916541
1881000000,0.5357066988945007,7.588841499916541
1882000000,0.5333906412124634,7.55120778381289
1883000000,0.5333906412124634,7.55120778381289
1884000000,0.5255064964294434,7.421861741509051
1885000000,0.5255064964294434,7.421861741509051
1886000000,0.5162477493286133,7.267463382372757
1887000000,0.5162477493286133,7.267463382372757
1888000000,0.5119808912277222,7.1953749968898695
1889000000,0.5119808912277222,7.1953749968898695
1890000000,0.5081334114074707,7.129854998826605
1891000000,0.5081334114074707,7.129854998826605
1892000000,0.5082201361656189,7.131337320961045
1893000000,0.5082201361656189,7.131337320961045
1894000000,0.5076864361763,7.122211167514015
1895000000,0.5076864361763,7.122211167514015
1896000000,0.5033645629882812,7.047952713251982
1897000000,0.5033645629882812,7.047952713251982
1898000000,0.5040158629417419,7.059184061726988
1899000000,0.5040158629417419,7.059184061726988
1900000000,0.5043438673019409,7.064834842273903
1901000000,0.5043438673019409,7.064834842273903
1902000000,0.5046432614326477,7.069989525381086
1903000000,0.5046432614326477,7.069989525381086
1904000000,0.5055761933326721,7.086032268943075
1905000000,0.5055761933326721,7.086032268943075
1906000000,0.5042753219604492,7.063654263362348
1907000000,0.5042753219604492,7.063654263362348
1908000000,0.5116339921951294,7.1894877694241455
1909000000,0.5116339921951294,7.1894877694241455
1910000000,0.5103029012680054,7.166860706043737
1911000000,0.5103029012680054,7.166860706043737
1912000000,0.5144442915916443,7.237067007442453
1913000000,0.5144442915916443,7.237067007442453
1914000000,0.5125991702079773,7.205857932957095
1915000000,0.5125991702079773,7.205857932957095
1916000000,0.5064942240715027,7.101789899502537
1917000000,0.5064942240715027,7.101789899502537
1918000000,0.5053170919418335,7.081579719563317
1919000000,0.5053170919418335,7.081579719563317
1920000000,0.5152355432510376,7.250416255839209
1921000000,0.5152355432510376,7.250416255839209
1922000000,0.5131061673164368,7.214444651049389
1923000000,0.5131061673164368,7.214444651049389
1924000000,0.513113260269165,7.214564720116395
