 Tag  Distância Euclidiana  Distância Manhattan  Distância Chebyshev  Correlação
 0.0             11.796716           612.680282             0.472106    0.310489
 1.0              8.761183           415.405849             0.455715    0.247246
 2.0             18.735036          1110.240700             0.539122    0.554380
 3.0              1.050926            60.905476             0.065387    0.004055
 4.0             26.388552          1515.293264             0.780224    0.984161
 5.0              9.005119           414.759028             0.470525    0.299187
 6.0              9.654233           443.134945             0.468692    0.397577
 0.0              1.050926            60.905476             0.065387    0.004055
