 Tag  Distância Euclidiana  Distância Manhattan  Distância Chebyshev  Correlação
 0.0              8.390551           382.432658             0.377608    0.209022
 1.0              4.679961           161.108835             0.311877    0.127756
 2.0             21.612186          1331.189768             0.589033    0.784236
 3.0              7.912186           352.337739             0.458295    0.226453
 4.0             28.916321          1745.054389             0.830156    1.267339
 5.0              5.525321           239.754567             0.362734    0.178798
 6.0              6.325479           268.417871             0.358957    0.250595
 0.0              4.679961           161.108835             0.311877    0.127756
